#timebase=2000000(ps)
,#voltbase=200000(mv/100)
#size=4000
-2.110E-05,-0.008
-2.109E-05,0.000
-2.108E-05,0.000
-2.107E-05,0.016
-2.106E-05,0.008
-2.105E-05,0.000
-2.104E-05,0.000
-2.103E-05,0.008
-2.102E-05,0.000
-2.101E-05,0.000
-2.100E-05,0.008
-2.099E-05,0.016
-2.098E-05,0.016
-2.097E-05,0.008
-2.096E-05,0.008
-2.095E-05,0.000
-2.094E-05,0.016
-2.093E-05,0.000
-2.092E-05,0.000
-2.091E-05,0.016
-2.090E-05,0.000
-2.089E-05,0.000
-2.088E-05,0.000
-2.087E-05,0.016
-2.086E-05,0.008
-2.085E-05,0.000
-2.084E-05,0.008
-2.083E-05,-0.008
-2.082E-05,0.000
-2.081E-05,0.000
-2.080E-05,-0.008
-2.079E-05,0.016
-2.078E-05,0.024
-2.077E-05,0.000
-2.076E-05,0.000
-2.075E-05,0.008
-2.074E-05,0.000
-2.073E-05,0.008
-2.072E-05,0.016
-2.071E-05,0.008
-2.070E-05,-0.024
-2.069E-05,-0.016
-2.068E-05,-0.016
-2.067E-05,-0.032
-2.066E-05,-0.016
-2.065E-05,-0.008
-2.064E-05,-0.016
-2.063E-05,-0.024
-2.062E-05,-0.016
-2.061E-05,0.008
-2.060E-05,-0.008
-2.059E-05,-0.016
-2.058E-05,-0.016
-2.057E-05,-0.016
-2.056E-05,-0.008
-2.055E-05,-0.008
-2.054E-05,-0.008
-2.053E-05,-0.016
-2.052E-05,-0.016
-2.051E-05,-0.008
-2.050E-05,-0.008
-2.049E-05,-0.008
-2.048E-05,0.008
-2.047E-05,0.000
-2.046E-05,-0.008
-2.045E-05,-0.016
-2.044E-05,0.000
-2.043E-05,-0.008
-2.042E-05,0.000
-2.041E-05,-0.008
-2.040E-05,-0.008
-2.039E-05,-0.008
-2.038E-05,-0.008
-2.037E-05,-0.008
-2.036E-05,-0.008
-2.035E-05,0.000
-2.034E-05,0.008
-2.033E-05,0.000
-2.032E-05,-0.008
-2.031E-05,-0.016
-2.030E-05,0.000
-2.029E-05,-0.008
-2.028E-05,-0.008
-2.027E-05,0.000
-2.026E-05,0.000
-2.025E-05,0.000
-2.024E-05,-0.008
-2.023E-05,0.000
-2.022E-05,0.000
-2.021E-05,-0.008
-2.020E-05,0.000
-2.019E-05,-0.008
-2.018E-05,0.000
-2.017E-05,0.008
-2.016E-05,-0.008
-2.015E-05,-0.008
-2.014E-05,-0.008
-2.013E-05,-0.008
-2.012E-05,-0.008
-2.011E-05,-0.008
-2.010E-05,0.008
-2.009E-05,0.000
-2.008E-05,-0.008
-2.007E-05,0.000
-2.006E-05,0.008
-2.005E-05,0.008
-2.004E-05,-0.016
-2.003E-05,-0.008
-2.002E-05,-0.008
-2.001E-05,0.000
-2.000E-05,-0.008
-1.999E-05,-0.008
-1.998E-05,0.000
-1.997E-05,-0.008
-1.996E-05,0.008
-1.995E-05,0.000
-1.994E-05,-0.008
-1.993E-05,0.000
-1.992E-05,0.008
-1.991E-05,0.008
-1.990E-05,0.000
-1.989E-05,0.000
-1.988E-05,0.000
-1.987E-05,-0.008
-1.986E-05,-0.008
-1.985E-05,0.016
-1.984E-05,0.008
-1.983E-05,-0.008
-1.982E-05,0.000
-1.981E-05,0.008
-1.980E-05,-0.008
-1.979E-05,0.000
-1.978E-05,0.008
-1.977E-05,0.000
